Obs,CustomerID,FullName,Gender,Country,OrderID,OrderDate,OrderAmount,OrderStatus,PaymentID,PaymentAmount,ProgramName,TierLevel,CallID,IssueCategory,AverageSpend,CompanyName
1,CUST00001,Allison Hill,Other,Kiribati,ce044eff,07/12/2022,170.62,Pending,4c87d396,55.6,Silver,Bronze,CALL00001,Other,189.16,Company 19
2,CUST00002,Christopher Bernard,Male,Aruba,5704bcf5,22/09/2024,416.75,Canceled,9b1c61c4,410.39,Premium,Bronze,CALL00002,Delivery,352.67,Company 93
3,CUST00003,Jamie Chavez,Male,Croatia,9afaaac9,13/06/2025,241.66,Completed,99640c96,270.08,Gold,Bronze,CALL00003,Delivery,94.94,Company 99
4,CUST00004,Patrick Ryan,Other,Mexico,ff5e51ae,02/04/2024,681.52,Pending,ca41ae18,404.78,Gold,Gold,CALL00004,Delivery,162.3,Company 84
5,CUST00005,Gina Carter,Female,Liechtenstein,7ebfdfda,16/01/2023,532.19,Pending,4199885b,443.86,Premium,Bronze,CALL00005,Product,209.01,Company 60
6,CUST00006,Keith Miller,Male,Bahrain,11331d7f,03/05/2025,644.77,Completed,0188ab03,291.69,Gold,Gold,CALL00006,Payment,224.37,Company 40
7,CUST00007,Michael Brown,Male,Isle of Man,8.04E+306,20/07/2024,765.49,Completed,144b5c1f,498.87,Silver,Bronze,CALL00007,Other,92.12,Company 93
8,CUST00008,Nicholas Mcbride,Male,United Kingdom,438f533c,22/11/2023,885.78,Pending,7ff3f2bc,335.47,Premium,Bronze,CALL00008,Other,261.7,Company 77
9,CUST00009,Michael Cross,Other,Azerbaijan,aa67e82a,13/04/2025,381.16,Pending,1db75399,85.25,Premium,Gold,CALL00009,Product,144.96,Company 31
10,CUST00010,Todd Hudson,Male,Monaco,fcf1671c,18/03/2024,154.59,Completed,42d44491,402,Premium,Bronze,CALL00010,Payment,334.56,Company 26
11,CUST00011,Shirley Suarez,Other,Netherlands Antilles,1fe8b54a,07/11/2024,708.48,Completed,2755d915,217.68,Gold,Silver,CALL00011,Payment,173.63,Company 39
12,CUST00012,Danielle Odonnell,Other,Syrian Arab Republic,e3ccee79,15/05/2024,553.32,Completed,f722c852,441.92,Silver,Gold,CALL00012,Other,410.19,Company 23
13,CUST00013,Jacob Fitzpatrick,Other,Solomon Islands,f40ba577,17/06/2023,130.63,Completed,2573eb8c,461.94,Silver,Gold,CALL00013,Delivery,373.44,Company 96
14,CUST00014,Julia Torres,Male,Jordan,2b1c71a0,06/08/2023,600.77,Pending,de540868,42.88,Premium,Silver,CALL00014,Product,350.63,Company 69
15,CUST00015,Steven Lee,Other,Qatar,f351897f,18/11/2023,11.55,Completed,6231bcf1,440.86,Premium,Gold,CALL00015,Product,488.39,Company 5
16,CUST00016,Stephanie Gilbert,Female,Bermuda,bc69bf5f,03/05/2025,974.91,Canceled,fe061b64,441.39,Premium,Gold,CALL00016,Product,152.66,Company 17
17,CUST00017,David Alvarez,Male,Micronesia,b62ccf2c,13/09/2023,30.13,Canceled,a9f6d1b4,232.02,Gold,Silver,CALL00017,Product,132.56,Company 49
18,CUST00018,Victoria Larson,Male,Ghana,db340ef8,17/01/2025,790.63,Canceled,6ad9e9f3,55.57,Silver,Gold,CALL00018,Delivery,493.03,Company 82
19,CUST00019,Amy Russell,Male,Cyprus,ba4b290c,27/02/2024,759.11,Completed,3f99089e,422.89,Silver,Silver,CALL00019,Delivery,441.34,Company 100
20,CUST00020,Rebecca Ramsey,Male,Sao Tome and Princip,cf5c47f1,21/09/2023,781.35,Completed,dcd7918d,324.82,Gold,Bronze,CALL00020,Delivery,276.67,Company 22
21,CUST00021,Amy Crane,Male,Netherlands,69efe04f,15/05/2025,46.61,Pending,486c14fb,361.74,Gold,Gold,CALL00021,Product,93.53,Company 6
22,CUST00022,Eric Byrd,Other,Bangladesh,f0e61ea8,10/06/2025,404.24,Pending,bd607931,284.52,Silver,Bronze,CALL00022,Product,145.23,Company 15
